uid,reported_date,victim_last,victim_first,victim_race,victim_age,victim_sex,city,state,lat,lon,disposition,ZIP
NY-000358,20170129,Unknown,Unknown,Asian,33,Male,New York,NY,40.74772968,-73.98683929,Closed by arrest,10001
NY-000294,20161107,Unknown,Unknown,Asian,49,Female,New York,NY,40.7535327,-73.99453689,Closed by arrest,10001
NY-000418,20170425,Unknown,Unknown,Black,59,Female,New York,NY,40.74693428,-73.99358827,Closed by arrest,10001
NY-000168,20160705,Unknown,Unknown,Hispanic,70,Female,New York,NY,40.71321126,-73.98388102,Closed by arrest,10002
NY-000119,20160525,Unknown,Unknown,Black,33,Male,New York,NY,40.73498319,-73.98805421,Closed by arrest,10003
NY-000095,20160429,Unknown,Unknown,Hispanic,70,Male,New York,NY,40.7256977,-73.98823988,Open/No arrest,10003
NY-000582,20171101,Unknown,Unknown,White,56,Female,New York,NY,40.72881866,-73.9900722,Closed by arrest,10003
NY-000070,20160401,Unknown,Unknown,White,70,Male,New York,NY,40.72598064,-73.99080141,Closed by arrest,10003
NY-000372,20170215,Unknown,Unknown,White,43,Male,New York,NY,40.71627259,-74.00688785,Open/No arrest,10007
NY-000266,20160930,Unknown,Unknown,Black,82,Female,New York,NY,40.72045033,-73.97491448,Closed by arrest,10009
NY-000079,20160414,Unknown,Unknown,Black,23,Male,New York,NY,40.72760651,-73.97781979,Closed by arrest,10009
NY-000130,20160603,Unknown,Unknown,Hispanic,21,Male,New York,NY,40.72227316,-73.97634243,Closed by arrest,10009
NY-000340,20170104,Unknown,Unknown,Hispanic,28,Female,New York,NY,40.72033577,-73.97847518,Closed by arrest,10009
NY-000584,20171103,Unknown,Unknown,Black,23,Male,New York,NY,40.72399675,-73.97581508,Closed by arrest,10009
NY-000495,20170715,Unknown,Unknown,Black,32,Female,New York,NY,40.73611028,-73.98065317,Closed by arrest,10010
NY-000579,20171031,Unknown,Unknown,White,31,Female,New York,NY,40.72905464,-74.0107245,Closed by arrest,10014
NY-000578,20171031,Unknown,Unknown,White,32,Male,New York,NY,40.72905464,-74.0107245,Closed by arrest,10014
NY-000574,20171031,Unknown,Unknown,Hispanic,48,Male,New York,NY,40.72905464,-74.0107245,Closed by arrest,10014
NY-000573,20171031,Unknown,Unknown,Hispanic,47,Male,New York,NY,40.72905464,-74.0107245,Closed by arrest,10014
NY-000572,20171031,Unknown,Unknown,Hispanic,47,Male,New York,NY,40.72905464,-74.0107245,Closed by arrest,10014
NY-000571,20171031,Unknown,Unknown,Hispanic,47,Male,New York,NY,40.72905464,-74.0107245,Closed by arrest,10014
NY-000577,20171031,Unknown,Unknown,White,23,Male,New York,NY,40.72905464,-74.0107245,Closed by arrest,10014
NY-000575,20171031,Unknown,Unknown,Hispanic,48,Male,New York,NY,40.72905464,-74.0107245,Closed by arrest,10014
NY-000569,20171029,Unknown,Unknown,Black,38,Female,New York,NY,40.74016078,-73.97657424,Closed by arrest,10016
NY-000080,20160415,Unknown,Unknown,Hispanic,56,Male,New York,NY,40.74082451,-73.97426086,Closed by arrest,10016
NY-000625,20171227,Unknown,Unknown,White,74,Male,New York,NY,40.75491564,-73.97247597,Open/No arrest,10017
NY-000510,20170802,Unknown,Unknown,Black,55,Male,New York,NY,40.75176222,-73.97373329,Closed by arrest,10017
NY-000325,20161217,Unknown,Unknown,Black,27,Male,New York,NY,40.75387492,-73.98482044,Closed by arrest,10018
NY-000395,20170320,Unknown,Unknown,Black,66,Male,New York,NY,40.75438087,-73.99558716,Closed by arrest,10018
NY-000617,20171219,Unknown,Unknown,Hispanic,27,Male,New York,NY,40.76015753,-73.98395268,Closed by arrest,10019
NY-000297,20161113,Unknown,Unknown,White,26,Male,New York,NY,40.75915016,-73.96084391,Closed by arrest,10022
NY-000419,20170427,Unknown,Unknown,Hispanic,24,Male,New York,NY,40.78859715,-73.97611663,Open/No arrest,10024
NY-000341,20170104,Unknown,Unknown,White,56,Male,New York,NY,40.78386245,-73.97595222,Closed by arrest,10024
NY-000552,20171005,Unknown,Unknown,White,37,Male,New York,NY,40.78450737,-73.97548256,Closed without arrest,10024
NY-000344,20170110,Unknown,Unknown,White,59,Male,New York,NY,40.78245186,-73.96587827,Closed by arrest,10024
NY-000276,20161006,Unknown,Unknown,Hispanic,63,Male,New York,NY,40.79828523,-73.96267373,Closed by arrest,10025
NY-000613,20171216,Unknown,Unknown,Hispanic,48,Male,New York,NY,40.80118051,-73.9614585,Open/No arrest,10025
NY-000169,20160705,Unknown,Unknown,Black,38,Female,New York,NY,40.80106379,-73.95048191,Closed by arrest,10026
NY-000058,20160316,Unknown,Unknown,Black,53,Male,New York,NY,40.80262031,-73.95108757,Closed by arrest,10026
NY-000431,20170515,Unknown,Unknown,Black,38,Male,New York,NY,40.79861625,-73.95227519,Closed by arrest,10026
NY-000550,20170930,Unknown,Unknown,Black,18,Male,New York,NY,40.80106379,-73.95048191,Open/No arrest,10026
NY-000538,20170920,Unknown,Unknown,Black,58,Male,New York,NY,40.798964,-73.95031372,Open/No arrest,10026
NY-000324,20161214,Unknown,Unknown,Black,32,Male,New York,NY,40.8094132,-73.94436716,Open/No arrest,10027
NY-000355,20170125,Unknown,Unknown,Black,22,Male,New York,NY,40.80713887,-73.95288316,Closed by arrest,10027
NY-000429,20170512,Unknown,Unknown,Unknown,44,Male,New York,NY,40.8127971,-73.9436635,Closed by arrest,10027
NY-000481,20170707,Unknown,Unknown,Black,25,Male,New York,NY,40.81721773,-73.95347214,Closed by arrest,10027
NY-000067,20160325,Unknown,Unknown,Hispanic,16,Male,New York,NY,40.79634124,-73.94119982,Open/No arrest,10029
NY-000428,20170509,Unknown,Unknown,Black,24,Female,New York,NY,40.79189233,-73.94751653,Closed by arrest,10029
NY-000318,20161209,Unknown,Unknown,Hispanic,24,Female,New York,NY,40.79908632,-73.94761921,Closed by arrest,10029
NY-000356,20170126,Unknown,Unknown,Hispanic,3,Male,New York,NY,40.79409373,-73.93681016,Open/No arrest,10029
NY-000307,20161127,Unknown,Unknown,Black,74,Male,New York,NY,40.79032505,-73.94171072,Open/No arrest,10029
NY-000611,20171214,Unknown,Unknown,Black,49,Male,New York,NY,40.79829308,-73.94186988,Closed by arrest,10029
NY-000534,20170913,Unknown,Unknown,Hispanic,17,Male,New York,NY,40.79547627,-73.94604377,Open/No arrest,10029
NY-000255,20160923,Unknown,Unknown,Black,21,Male,New York,NY,40.81971866,-73.9423895,Closed by arrest,10030
NY-000033,20160213,Unknown,Unknown,Black,22,Male,New York,NY,40.81750346,-73.94197594,Closed by arrest,10030
NY-000392,20170316,Unknown,Unknown,Black,30,Male,New York,NY,40.8209268,-73.94332422,Open/No arrest,10030
NY-000533,20170910,Unknown,Unknown,Hispanic,53,Female,New York,NY,40.81999118,-73.94400425,Closed without arrest,10030
NY-000155,20160623,Unknown,Unknown,Black,46,Male,New York,NY,40.81725838,-73.94040458,Open/No arrest,10030
NY-000378,20170225,Unknown,Unknown,Hispanic,24,Female,New York,NY,40.83211111,-73.94829425,Closed by arrest,10031
NY-000241,20160905,Unknown,Unknown,Black,19,Male,New York,NY,40.82294535,-73.95198314,Open/No arrest,10031
NY-000331,20161226,Unknown,Unknown,Hispanic,36,Female,New York,NY,40.83211111,-73.94829425,Closed by arrest,10031
NY-000258,20160926,Unknown,Unknown,Black,6,Male,New York,NY,40.82066349,-73.95638541,Closed by arrest,10031
NY-000332,20161226,Unknown,Unknown,Hispanic,4,Male,New York,NY,40.83211111,-73.94829425,Closed by arrest,10031
NY-000081,20160415,Unknown,Unknown,Black,41,Male,New York,NY,40.83345098,-73.94340751,Closed by arrest,10032
NY-000273,20161003,Unknown,Unknown,Black,36,Male,New York,NY,40.84078386,-73.93625261,Closed by arrest,10032
NY-000603,20171203,Unknown,Unknown,Hispanic,27,Male,New York,NY,40.84620036,-73.93845219,Open/No arrest,10033
NY-000085,20160418,Unknown,Unknown,Hispanic,19,Male,New York,NY,40.84768881,-73.93493033,Closed by arrest,10033
NY-000568,20171029,Unknown,Unknown,Hispanic,43,Male,New York,NY,40.84819452,-73.9361696,Closed by arrest,10033
NY-000387,20170312,Unknown,Unknown,Black,27,Male,New York,NY,40.85111164,-73.93525591,Open/No arrest,10033
NY-000049,20160309,Unknown,Unknown,White,57,Male,New York,NY,40.85111164,-73.93525591,Closed by arrest,10033
NY-000308,20161128,Unknown,Unknown,Black,22,Female,New York,NY,40.84977622,-73.93752717,Closed without arrest,10033
NY-000434,20170518,Unknown,Unknown,Hispanic,69,Male,New York,NY,40.86628597,-73.92030562,Closed by arrest,10034
NY-000048,20160309,Unknown,Unknown,Hispanic,38,Male,New York,NY,40.86092832,-73.92030843,Open/No arrest,10034
NY-000374,20170217,Unknown,Unknown,Black,40,Male,New York,NY,40.80111356,-73.9346869,Closed by arrest,10035
NY-000022,20160127,Unknown,Unknown,White,62,Male,New York,NY,40.80339359,-73.93814501,Closed without arrest,10035
NY-000327,20161219,Unknown,Unknown,Black,22,Male,New York,NY,40.8066179,-73.93676576,Closed by arrest,10035
NY-000083,20160417,Unknown,Unknown,Hispanic,21,Male,New York,NY,40.80139239,-73.93271089,Closed by arrest,10035
NY-000436,20170518,Unknown,Unknown,White,18,Female,New York,NY,40.75604354,-73.98694954,Closed by arrest,10036
NY-000272,20161003,Unknown,Unknown,Black,39,Male,New York,NY,40.81052442,-73.93821425,Closed by arrest,10037
